"xh2: U","xh2: %y","x/h=2: Velocity[i] (m/s)","x/h=2: Direction [0,1,0] (m)"
null,null,0.490108435992004,0.0608
null,null,0.49082358319653385,0.0616
null,null,0.4915390524892672,0.062400000000000004
null,null,0.4921945163457458,0.0632
null,null,0.4928135448608839,0.064
null,null,0.49343308788604234,0.06480000000000001
null,null,0.49403310538683226,0.06559999999999999
null,null,0.4945999643798846,0.0664
null,null,0.49516741979313783,0.0672
null,null,0.4957301807991393,0.068
null,null,0.4962422664238253,0.0688
null,null,0.4967549431501653,0.0696
null,null,0.49726821180520664,0.0704
null,null,0.4977233061421907,0.0712
null,null,0.498163364568298,0.07200000000000001
null,null,0.49860395273502367,0.0728
null,null,0.49900020393923517,0.0736
null,null,0.49934662150689063,0.07440000000000001
null,null,0.4996934789518098,0.0752
null,null,0.5000246332236327,0.076
null,null,0.5002604932805721,0.0768
null,null,0.5004966778095314,0.0776
null,null,0.5007331872095094,0.0784
null,null,0.5008721085176053,0.0792
null,null,0.5009894204101557,0.08
null,null,0.5011069978686822,0.0808
null,null,0.5011631990068567,0.0816
null,null,0.5011576266737824,0.0824
null,null,0.501152292791236,0.08320000000000001
null,null,0.5011222823879572,0.084
null,null,0.5009901430930791,0.0848
null,null,0.5008581924634137,0.08560000000000001
null,null,0.5007264306994569,0.0864
null,null,0.5004778108054928,0.08720000000000001
null,null,0.5002187882976301,0.08800000000000001
null,null,0.4999599314138847,0.0888
null,null,0.49961625112984465,0.08960000000000001
null,null,0.49923091966680266,0.0904
null,null,0.4988457371189041,0.09119999999999999
null,null,0.49840249785709945,0.092
null,null,0.4978916893131784,0.0928
null,null,0.4973809473842387,0.0936
null,null,0.4968335550695957,0.0944
null,null,0.49619964990744203,0.09519999999999999
null,null,0.4955658002834932,0.096
null,null,0.49490959194636586,0.0968
null,null,0.49415578128101273,0.0976
null,null,0.4934020183514044,0.0984
null,null,0.4926325354364123,0.0992
null,null,0.49176188461304415,0.1
null,null,0.49089127574803615,0.1008
null,null,0.4900038098897121,0.10160000000000001
null,null,0.4890188852685034,0.1024
null,null,0.4880339977476533,0.1032
null,null,0.4870231923244962,0.10400000000000001
null,null,0.48592578254492336,0.1048
null,null,0.4848284055767031,0.10560000000000001
null,null,0.483687780328658,0.10640000000000001
null,null,0.4824788184149069,0.1072
null,null,0.48126988528285564,0.10800000000000001
null,null,0.47999148283734455,0.10880000000000001
null,null,0.47867105688281064,0.10960000000000002
null,null,0.4773506558741398,0.1104
null,null,0.4759247874341885,0.1112
null,null,0.47449220377511947,0.11199999999999999
null,null,0.47302087366354345,0.1128
null,null,0.4714747099917782,0.11359999999999999
null,null,0.46992856430666446,0.1144
null,null,0.46828656968801174,0.1152
null,null,0.4666248009003213,0.11599999999999999
null,null,0.4649151786895615,0.1168
null,null,0.4631351448112211,0.1176
null,null,0.4613466665847861,0.1184
null,null,0.459445119395066,0.1192
null,null,0.45754358304854337,0.12
null,null,0.4555386703331887,0.1208
null,null,0.4535117234171768,0.1216
null,null,0.4513978177473652,0.12240000000000001
null,null,0.4492408511444119,0.1232
null,null,0.44700224119738996,0.12400000000000001
null,null,0.4447098539629941,0.12480000000000001
null,null,0.4423287918461251,0.12560000000000002
null,null,0.4398947088539126,0.1264
null,null,0.43735093881557674,0.1272
null,null,0.43476792900060984,0.128
null,null,0.43203816482504326,0.1288
null,null,0.4292620981024373,0.12960000000000002
null,null,0.42635534326955243,0.1304
null,null,0.4233459337884164,0.13119999999999998
null,null,0.4202574184956871,0.132
null,null,0.4169850696497993,0.1328
null,null,0.41360235710430737,0.1336
null,null,0.410097093722726,0.1344
null,null,0.4064092543298704,0.1352
null,null,0.4025339941951162,0.136
null,null,0.39848118697485124,0.1368
null,null,0.3942267555049558,0.1376
null,null,0.3897448213549118,0.1384
null,null,0.38500828066902043,0.1392
null,null,0.37998955891629965,0.14
null,null,0.37466139550288646,0.1408
null,null,0.36899751228688193,0.1416
null,null,0.36297304808803077,0.1424
null,null,0.35656464110595565,0.1432
null,null,0.34965003482778023,0.14400000000000002
null,null,0.3422776244032547,0.1448
null,null,0.3343034668832787,0.1456
null,null,0.3256630369012994,0.1464
null,null,0.3161917595814941,0.1472
null,null,0.30564766720378345,0.14800000000000002
null,null,0.2934396090058079,0.14880000000000002
null,null,0.2781872070644468,0.1496
null,null,0.25524211449654666,0.1504
null,null,0.19673942722393165,0.1512
