"Ustar (m/s)","Wall Y+","Wall Shear Stress: Magnitude (Pa)","X (m)","Y (m)","Z (m)"
0.0232893933269431,0.11590006750247,0.542003674629806,0.448798904757847,0.0500007343280471,0
0.0293351436334157,0.145981634410227,0.859818085243485,0.446396714215214,0.050001983196006,0
0.0286560072037329,0.142556893005854,0.820487241602856,0.443994887747695,0.0499729280466539,0
0.0354596034583467,0.176113066979933,1.25613074893592,0.4415965367871,0.0498520503618405,0
0.0411101041680977,0.203007330487934,1.68826289833517,0.439211022567753,0.0495831626118991,0
0.0472333391877308,0.229949835656215,2.22848776341788,0.436857425669436,0.0491161591142879,0
0.0513295086714435,0.243325423345485,2.63172331812754,0.434563591467966,0.048414506521562,0
0.0522362737666562,0.238666385613129,2.72556030830406,0.432351198369708,0.047485564521458,0
0.0513051180335464,0.225232715977996,2.62927416946723,0.430225224067076,0.0463709752173934,0
0.0499324473247436,0.210851417591185,2.4904734245392,0.428181665949152,0.0451105804185187,0
0.0467997172427638,0.191102261816674,2.18779985218584,0.426208478846623,0.043741577206949,0
0.0449647944177561,0.179033904499582,2.01958198425038,0.424288661614164,0.0422981918373414,0
0.042360994433622,0.165564973748322,1.7924692610989,0.422409187381947,0.0408024300053706,0
0.0401437289526393,0.155103504217363,1.60972927318486,0.420556703295961,0.0392731827311534,0
0.0381646354295143,0.146687889682042,1.45492470788243,0.418719456038798,0.0377256157019174,0
0.0364695755385944,0.1397863620478,1.32855884421337,0.416892855850353,0.0361654890830932,0
0.0343745309868487,0.131872041744026,1.18030632749925,0.415069962134824,0.0346010159813637,0
0.0326880455793143,0.126276799242672,1.06733407614163,0.413238942495303,0.0330460966555677,0
0.0313385036119265,0.122198268377347,0.981031460443231,0.411394717948065,0.0315068566155548,0
0.0301179358043353,0.11840926053049,0.906108574542755,0.409538901057888,0.0299816042270143,0
0.0289303641627599,0.114581522559694,0.836065915747432,0.407672727607745,0.0284690392161523,0
0.0278446768919647,0.111020342540058,0.774496261080232,0.405797174789925,0.0269681145645655,0
0.026780626402324,0.107376542208562,0.716437569201581,0.403914090131014,0.0254766433204996,0
0.0257496403569784,0.103695716294784,0.662338774719139,0.402025679789406,0.0239919157746109,0
0.0246640865455248,0.0996638452777379,0.60767087054743,0.400133716176218,0.0225117166465958,0
0.0235506764790898,0.0954679687568086,0.554044631995943,0.398238508108338,0.0210356749766736,0
0.0223887865721205,0.0910972530474176,0.500724186983661,0.39633873127427,0.0195655223366587,0
0.0212617594069081,0.0869209411614396,0.451580173076654,0.394432092270033,0.0181042887885348,0
0.0201926048990141,0.0829705376060013,0.407305677555821,0.392517588854769,0.0166533722245532,0
0.0190773334534988,0.0787509647483279,0.363554834271847,0.390595960722526,0.0152119024282952,0
0.0178066366195087,0.0739564470443339,0.316735415631054,0.388663706574177,0.0137847495715159,0
0.0167455077109308,0.0702104384883477,0.280109621132739,0.386713115703816,0.0123828379969651,0
0.0156341444136324,0.0663004970444931,0.244163334595172,0.384739353073587,0.0110137764088389,0
0.0145957499047493,0.0626802174652673,0.212806652875925,0.382738948476947,0.00968403561784733,0
0.0135788551805878,0.0591892533262964,0.184187404075207,0.380705585571877,0.00840546001170694,0
0.0127364269421095,0.0564470760915858,0.162043290546957,0.378634077514088,0.00718979169553545,0
0.0119524955428533,0.0538591870273295,0.142710556520439,0.376523093298223,0.00604412917215411,0
0.0112379146500231,0.0514630163553423,0.126157591647836,0.374372338330772,0.00497513908650666,0
0.0105856635566679,0.0492406847475943,0.111939011050288,0.372181617846547,0.00399082320649972,0
