"Ustar (m/s)","Wall Y+","Wall Shear Stress: Magnitude (Pa)","X (m)","Y (m)","Z (m)"
0.0286555246061175,0.142604724530955,0.819704225840504,0.448875,0.15175,0
0.0279700140701308,0.139192958550747,0.780963571445638,0.446625,0.15175,0
0.0282939116325318,0.140804210733954,0.799151287489288,0.444375,0.15175,0
0.0277472492850167,0.138082859979113,0.768577427638969,0.442125,0.15175,0
0.0278532252550934,0.138609188279685,0.774458007887855,0.439875,0.15175,0
0.0274984851499158,0.136842924098919,0.754862069830552,0.437625,0.15175,0
0.0274721343281557,0.13671139757805,0.753416578106897,0.435375,0.15175,0
0.027222069338279,0.135467415615887,0.739766939617745,0.433125,0.15175,0
0.0271272276786676,0.13499656991005,0.734622781452913,0.430875,0.15175,0
0.0269298866947623,0.134015862850934,0.723976464067498,0.428625,0.15175,0
0.0268012659120651,0.133376743805828,0.717079383478372,0.426375,0.15175,0
0.0266295061384855,0.132521970783841,0.707920445861949,0.424125,0.15175,0
0.0264850081439648,0.131801489808084,0.700260808814124,0.421875,0.15175,0
0.0263248384055274,0.131001447730394,0.69181909315888,0.419625,0.15175,0
0.0261740845046265,0.130246674087962,0.683920412341903,0.417375,0.15175,0
0.0260187020550971,0.129467334087756,0.675826660614946,0.415125,0.15175,0
0.025866423908682,0.12870209621903,0.66794132716519,0.412875,0.15175,0
0.0257129381198281,0.127929882587367,0.660040253989983,0.410625,0.15175,0
0.0255607109496813,0.127163274200829,0.652250377333198,0.408375,0.15175,0
0.0254084656622022,0.126396073794877,0.644505795674841,0.406125,0.15175,0
0.0252569866046453,0.125632315235042,0.636846067189356,0.403875,0.15175,0
0.0251060195943837,0.124870850173408,0.629257760038273,0.401625,0.15175,0
0.0249558726177296,0.124113269933304,0.621755752829344,0.399375,0.15175,0
0.0248065436287228,0.123359576789964,0.614339211227384,0.397125,0.15175,0
0.0246580840209952,0.122610034238997,0.607009930543284,0.394875,0.15175,0
0.0245107908799613,0.12186616800763,0.599781677096575,0.392625,0.15175,0
0.0243645790716515,0.12112765792098,0.592649282104751,0.390375,0.15175,0
0.0242197121696111,0.120395951271987,0.585624543273486,0.388125,0.15175,0
0.0240762104648487,0.119671229213395,0.578707269924822,0.385875,0.15175,0
0.0239342951846738,0.118954611958427,0.571906861979069,0.383625,0.15175,0
0.0237939728027342,0.118246342979533,0.565222279203396,0.381375,0.15175,0
0.0236555212839881,0.11754816577088,0.558665312462212,0.379125,0.15175,0
0.0235188104374264,0.11685962869763,0.552228297776005,0.376875,0.15175,0
0.0233840528021996,0.116181967105625,0.545919733428126,0.374625,0.15175,0
0.0232513584326938,0.115516078600126,0.539743155006424,0.372375,0.15175,0
0.0231207736110084,0.114862346088684,0.533699060194836,0.370125,0.15175,0
0.0229924313949328,0.114221447220384,0.527791908721143,0.367875,0.15175,0
0.0228663751979945,0.113593645042486,0.522021960755623,0.365625,0.15175,0
0.0227426991122116,0.112979239564236,0.516391764437747,0.363375,0.15175,0
0.0226214585702322,0.112378459398844,0.510902061578918,0.361125,0.15175,0
0.0225027220191834,0.111791517974692,0.505554161139893,0.358875,0.15175,0
0.022386537522491,0.111218337726461,0.500348431653405,0.356625,0.15175,0
0.0222729628217304,0.110659065687731,0.495285666728254,0.354375,0.15175,0
0.0221620322816753,0.110113522368741,0.490365613751855,0.352125,0.15175,0
0.0220537828998241,0.10958169325342,0.485588148925763,0.349875,0.15175,0
0.0219482778666903,0.10906362411249,0.480954315978524,0.347625,0.15175,0
0.0218455258543516,0.108559001130643,0.476462747263063,0.345375,0.15175,0
0.0217455388776713,0.108067880542505,0.472112268624516,0.343125,0.15175,0
0.0216483481893779,0.107590462448218,0.467902577240771,0.340875,0.15175,0
0.0215539355203103,0.107126703887142,0.463831262055994,0.338625,0.15175,0
0.0214623332657487,0.106676759363929,0.459898140013632,0.336375,0.15175,0
0.0213735261720777,0.106240557394357,0.456101020839381,0.334125,0.15175,0
0.0212875461397093,0.105818260564383,0.452439774308943,0.331875,0.15175,0
0.0212043343639531,0.10540957920312,0.448910456796257,0.329625,0.15175,0
0.0211239495954549,0.105014808670992,0.445514166600979,0.327375,0.15175,0
0.0210462882474826,0.104633437103035,0.442245192626222,0.325125,0.15175,0
0.0209714600239156,0.104266012820562,0.439106860510293,0.322875,0.15175,0
0.0208992828562047,0.103911633511953,0.436090307179221,0.320625,0.15175,0
0.0208299580353881,0.103571302780764,0.433202755347886,0.318375,0.15175,0
0.0207631719926577,0.103243464203225,0.430430027236056,0.316125,0.15175,0
0.0206992885069634,0.102929929225292,0.427786136084103,0.313875,0.15175,0
0.0206377704068348,0.102628029233348,0.425247845779238,0.311625,0.15175,0
0.0205792690321416,0.10234100560651,0.422841037141943,0.309375,0.15175,0
0.0205228657380764,0.102064292288454,0.420527024676484,0.307125,0.15175,0
0.0204697039865605,0.101803578112076,0.418351814123734,0.304875,0.15175,0
0.0204182263767867,0.101551119764073,0.416250904308759,0.302625,0.15175,0
0.020370398698579,0.10131669615145,0.41430369497771,0.300375,0.15175,0
0.0203236134155874,0.101087340220236,0.41240336309728,0.298125,0.15175,0
0.0202811003958893,0.100879118662259,0.4106803473937,0.295875,0.15175,0
0.0202386011286806,0.100670851440514,0.40896151957145,0.293625,0.15175,0
0.0202014670745336,0.1004891592022,0.407462630352867,0.291375,0.15175,0
0.0201637898036143,0.100304653430558,0.40594465185971,0.289125,0.15175,0
0.020130777551718,0.100143243490266,0.404616953489956,0.286875,0.15175,0
0.0200980875708368,0.09998332763669,0.403304381116102,0.284625,0.15175,0
